scenario,scenario_label,target,stage,model,metric,train_mean,cv_mean,cv_std,gap,n_features,best_params
full,Completo,principal,tuned,random_forest,accuracy,1.0,0.8662832873000156,0.01032941113797272,0.13371671269998442,35,"{""model__max_depth"": ""None"", ""model__min_samples_leaf"": ""1""}"
full,Completo,principal,tuned,random_forest,precision,1.0,0.8403637743939161,0.020377799565272893,0.15963622560608393,35,"{""model__max_depth"": ""None"", ""model__min_samples_leaf"": ""1""}"
full,Completo,principal,tuned,random_forest,recall,1.0,0.7213034871326329,0.0362409705675176,0.2786965128673671,35,"{""model__max_depth"": ""None"", ""model__min_samples_leaf"": ""1""}"
full,Completo,principal,tuned,random_forest,f1,1.0,0.7755695212504938,0.021101724658008324,0.22443047874950617,35,"{""model__max_depth"": ""None"", ""model__min_samples_leaf"": ""1""}"
full,Completo,principal,tuned,random_forest,f2,1.0,0.741932953057924,0.030269632232107418,0.25806704694207605,35,"{""model__max_depth"": ""None"", ""model__min_samples_leaf"": ""1""}"
full,Completo,principal,tuned,random_forest,roc_auc,1.0,0.9090441329294741,0.01116899843467777,0.09095586707052594,35,"{""model__max_depth"": ""None"", ""model__min_samples_leaf"": ""1""}"
full,Completo,principal,tuned,random_forest_balanced,accuracy,0.8724165064962761,0.8439913492104851,0.010158689445064067,0.02842515728579098,35,"{""model__max_depth"": ""6"", ""model__min_samples_leaf"": ""5""}"
full,Completo,principal,tuned,random_forest_balanced,precision,0.7827273083251869,0.7412352168400845,0.01808704384870594,0.041492091485102356,35,"{""model__max_depth"": ""6"", ""model__min_samples_leaf"": ""5""}"
full,Completo,principal,tuned,random_forest_balanced,recall,0.8345090231029362,0.790706055530176,0.03263714616554651,0.04380296757276014,35,"{""model__max_depth"": ""6"", ""model__min_samples_leaf"": ""5""}"
full,Completo,principal,tuned,random_forest_balanced,f1,0.8077440815847726,0.7647222598882503,0.017711056517835062,0.043021821696522355,35,"{""model__max_depth"": ""6"", ""model__min_samples_leaf"": ""5""}"
full,Completo,principal,tuned,random_forest_balanced,f2,0.8235810334604462,0.7799867164092709,0.0256019139179786,0.043594317051175335,35,"{""model__max_depth"": ""6"", ""model__min_samples_leaf"": ""5""}"
full,Completo,principal,tuned,random_forest_balanced,roc_auc,0.9347400872428342,0.9073281959939713,0.009214220008580016,0.027411891248862896,35,"{""model__max_depth"": ""6"", ""model__min_samples_leaf"": ""5""}"
full,Completo,principal,tuned,hist_gradient_boosting,accuracy,0.947594052683721,0.8669315753817293,0.01103659798225901,0.08066247730199172,35,"{""model__learning_rate"": ""0.05"", ""model__max_iter"": ""100""}"
full,Completo,principal,tuned,hist_gradient_boosting,precision,0.957668665849357,0.8420548392966658,0.018891899869165868,0.11561382655269115,35,"{""model__learning_rate"": ""0.05"", ""model__max_iter"": ""100""}"
full,Completo,principal,tuned,hist_gradient_boosting,recall,0.8755064631332765,0.7213187147860515,0.03721223512585133,0.15418774834722504,35,"{""model__learning_rate"": ""0.05"", ""model__max_iter"": ""100""}"
full,Completo,principal,tuned,hist_gradient_boosting,f1,0.9146842024506089,0.7763887112014316,0.02262511563903793,0.13829549124917728,35,"{""model__learning_rate"": ""0.05"", ""model__max_iter"": ""100""}"
full,Completo,principal,tuned,hist_gradient_boosting,f2,0.8907545361864189,0.7422547404573154,0.031419151222145655,0.14849979572910343,35,"{""model__learning_rate"": ""0.05"", ""model__max_iter"": ""100""}"
full,Completo,principal,tuned,hist_gradient_boosting,roc_auc,0.9907527036340038,0.9111464471555901,0.01151638081942786,0.07960625647841368,35,"{""model__learning_rate"": ""0.05"", ""model__max_iter"": ""100""}"
early_warning_no_financial,Early Warning sem financeiras,principal,default,dummy_prior,accuracy,0.6789405666216428,0.6789405388503831,0.0006273622935212724,2.7771259736297793e-08,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,dummy_prior,precision,0.0,0.0,0.0,0.0,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,dummy_prior,recall,0.0,0.0,0.0,0.0,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,dummy_prior,f1,0.0,0.0,0.0,0.0,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,dummy_prior,f2,0.0,0.0,0.0,0.0,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,dummy_prior,roc_auc,0.5,0.5,0.0,0.0,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,logistic,accuracy,0.8330107098390818,0.8281692636406273,0.006233110130175199,0.004841446198454502,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,logistic,precision,0.8152126505164935,0.8028195127779547,0.013953258896843283,0.012393137738538784,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,logistic,recall,0.620726272873803,0.6166996599157404,0.026088517455262077,0.004026612958062614,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,logistic,f1,0.7047006302107403,0.6971124157813982,0.015734287562109293,0.0075882144293420994,22,{}
